Title,Link,Date,Comments,Likes,Tweets,LinkedIn,Pins,+ 1's
Equity value,http://cdixon.org/2012/06/06/equity-value/,"June 6, 2012",0,8,94,27,0,5
Different types of risk,http://cdixon.org/2012/06/06/different-types-of-risk/,"June 6, 2012",0,16,209,57,0,13
"Some thoughts on when to raise money, and the current financing environment",http://cdixon.org/2012/06/02/some-thoughts-on-when-to-raise-money-and-the-current-financing-environment/,"June 2, 2012",0,20,164,45,0,8
The experience economy,http://cdixon.org/2012/05/26/the-experience-economy/,"May 26, 2012",0,131,770,209,0,36
When should you give up on an idea?,http://cdixon.org/2012/05/24/when-should-you-give-up-on-an-idea/,"May 24, 2012",0,51,349,95,0,15
Four types of mobile apps,http://cdixon.org/2012/05/21/four-use-cases-for-mobile-apps/,"May 21, 2012",0,45,527,143,0,35
The default state of a startup is failure,http://cdixon.org/2012/05/18/the-default-state-of-a-startup-is-failure/,"May 18, 2012",0,338,1168,309,0,66
Facebook’s business model,http://cdixon.org/2012/05/15/facebooks-business-model/,"May 15, 2012",0,179,734,185,0,47
Blogging to learn,http://cdixon.org/2012/05/10/blogging-to-learn/,"May 10, 2012",0,3,100,15,0,12
Is it a tech bubble?,http://cdixon.org/2012/04/29/is-it-a-tech-bubble/,"April 29, 2012",0,157,1067,261,0,44
Incumbents die due to irrelevance or ineptitude,http://cdixon.org/2012/04/26/incumbents-die-due-to-irrelevance-or-ineptitude/,"April 26, 2012",0,16,127,43,0,16
The risks of being a small investor in a private company,http://cdixon.org/2012/04/25/the-risk-of-being-a-small-investor-in-a-private-company/,"April 25, 2012",0,9,218,43,0,19
Outsource things you don’t care about,http://cdixon.org/2012/04/22/outsource-things-you-dont-care-about/,"April 22, 2012",0,45,150,67,0,9
"Offline first, mobile enabled",http://cdixon.org/2012/04/20/offline-first-mobile-enabled/,"April 20, 2012",0,15,148,41,0,8
“Meaningful” startups,http://cdixon.org/2012/04/18/meaningful-startups/,"April 18, 2012",0,125,363,136,0,21
There are two ways to make large datasets useful,http://cdixon.org/2012/04/14/there-are-two-ways-to-make-large-datasets-useful/,"April 14, 2012",0,5,102,27,0,17
Increasing velocity,http://cdixon.org/2012/04/11/increasing-velocity/,"April 11, 2012",0,9,176,43,0,5
"Seriously, what’s up with old media not crediting bloggers?",http://cdixon.org/2012/04/06/seriously-whats-up-with-old-media-not-crediting-bloggers/,"April 6, 2012",0,2,117,27,0,14
Facebook’s response to Yahoo’s patent lawsuit,http://cdixon.org/2012/04/03/facebooks-response-to-yahoos-patent-lawsuit/,"April 3, 2012",0,4,46,8,0,7
Revisited: big VCs investing in seed rounds,http://cdixon.org/2012/04/02/revisited-big-vcs-investing-in-seed-rounds/,"April 2, 2012",0,67,163,63,1,3
"Give away the diagnostic, sell the remedy",http://cdixon.org/2012/03/26/give-away-the-diagnostic-sell-the-remedy/,"March 26, 2012",0,6,215,73,0,13
The myth of the overnight success,http://cdixon.org/2012/03/16/the-myth-of-the-overnight-success/,"March 16, 2012",0,1592,2004,543,0,88
The problem with investing based on pattern recognition,http://cdixon.org/2012/03/07/the-problem-with-investing-based-on-pattern-recognition/,"March 7, 2012",0,54,343,91,0,27
Some tips for interacting with the press,http://cdixon.org/2012/03/01/some-tips-on-interacting-with-the-press/,"March 1, 2012",0,27,359,119,0,20
The internet is reshaping our economy from one of huge corporations with lots of jobs to huge platforms with lots of income streams,http://cdixon.org/2012/02/26/the-internet-is-reshaping-our-economy-from-one-of-huge-corporations-with-lots-of-jobs-to-huge-platforms-with-lots-of-income-streams/,"February 26, 2012",0,5,79,28,0,13
"Once you take money, the clock starts ticking",http://cdixon.org/2012/02/25/once-you-take-money-the-clock-starts-ticking/,"February 25, 2012",0,40,434,111,0,22
Big timing,http://cdixon.org/2012/02/24/big-timing/,"February 24, 2012",0,4,73,20,0,6
The P vs NP problem,http://cdixon.org/2012/02/21/the-p-vs-np-problem/,"February 21, 2012",0,3,48,8,0,5
“It is the human friction that makes the sparks”,http://cdixon.org/2012/02/19/it-is-the-human-friction-that-makes-the-sparks/,"February 19, 2012",0,5,64,14,0,14
Platform distribution risks,http://cdixon.org/2012/02/14/platform-distribution-risks/,"February 14, 2012",0,3,76,25,0,10
Between failure and Facebook,http://cdixon.org/2012/02/13/between-failure-and-facebook/,"February 13, 2012",0,41,223,72,0,19
eBay vs Amazon: decentralized vs centralized e-commerce,http://cdixon.org/2012/02/13/ebay-vs-amazon-decentralized-vs-centralized-e-commerce/,"February 13, 2012",0,27,225,67,0,17
Some thoughts on the iPhone contact list controversy and app security,http://cdixon.org/2012/02/12/the-iphone-contact-list-controversy-and-app-security/,"February 12, 2012",0,1,73,15,0,5
"And then, suddenly, it works",http://cdixon.org/2012/02/11/and-then-suddenly-it-works/,"February 11, 2012",0,10,117,34,0,18
Bedrock programming,http://cdixon.org/2012/02/06/bedrock-programming/,"February 6, 2012",0,6,72,17,0,4
Who should learn to program?,http://cdixon.org/2012/01/31/who-should-learn-to-program/,"January 31, 2012",0,72,342,82,0,30
Chris Sacca on the implied user contract,http://cdixon.org/2012/01/23/chris-sacca-on-the-implied-user-contract/,"January 23, 2012",0,1,51,14,0,8
What’s not evil: ranking content fairly *and* letting public content get indexed,http://cdixon.org/2012/01/23/whats-not-evil-ranking-content-fairly-and-letting-public-content-get-indexed/,"January 23, 2012",0,1,71,17,0,10
Revenue vs margin,http://cdixon.org/2012/01/22/revenue-exceptionalism-vs-margin-exceptionalism/,"January 22, 2012",0,12,116,45,0,15
Maximizing capacity utilization as a startup premise,http://cdixon.org/2012/01/05/maximizing-capacity-utilization-as-a-startup-premise/,"January 5, 2012",0,8,115,31,0,14
Building products from improvised user behaviors,http://cdixon.org/2012/01/02/building-products-from-improvised-user-behaviors/,"January 2, 2012",0,4,146,40,0,20
Recruiting programmers to your startup,http://cdixon.org/2011/12/29/recruiting-programmers-to-your-startup/,"December 29, 2011",0,71,602,171,0,38
My year in blogging,http://cdixon.org/2011/12/28/my-year-in-blogging/,"December 28, 2011",0,1,23,6,0,5
Michael Lewis’ Boomerang,http://cdixon.org/2011/12/22/michael-lewis-boomerang/,"December 22, 2011",0,3,28,6,0,6
The TripAdvisor IPO,http://cdixon.org/2011/12/21/the-tripadvisor-ipo/,"December 21, 2011",0,14,177,49,0,8
What jobs are users hiring your product to perform?,http://cdixon.org/2011/12/21/whats-the-job-users-hire-your-product-to-do/,"December 21, 2011",0,7,183,45,0,18
Trusting platforms,http://cdixon.org/2011/12/20/trusting-platforms/,"December 20, 2011",0,1,33,9,0,2
An internet of people,http://cdixon.org/2011/12/19/an-internet-of-people/,"December 19, 2011",0,36,343,104,0,20
cdixon.org site statistics,http://cdixon.org/2011/12/14/cdixon-org-site-statistics/,"December 14, 2011",0,1,32,0,0,1
Forces that affect whether a large company will buy your product (according to Marc Andreessen),http://cdixon.org/2011/12/14/forces-that-affect-decision-making-at-large-companies-according-to-marc-andreessen/,"December 14, 2011",0,5,67,23,0,6
Later-stage rounds and “setting the bar too high”,http://cdixon.org/2011/12/13/later-stage-rounds-and-setting-the-bar-too-high/,"December 13, 2011",0,0,60,21,0,7
Seth Godin on “organizational momentum” acquisitions,http://cdixon.org/2011/12/11/seth-godin-on-organizational-momentum-acquisitions/,"December 11, 2011",0,0,39,11,0,8
Three types of acquisitions,http://cdixon.org/2011/12/10/three-types-of-acquisitions/,"December 10, 2011",0,13,178,49,0,17
Technology and job creation,http://cdixon.org/2011/12/08/technology-and-job-creation/,"December 8, 2011",0,0,75,10,0,10
Growth curves of startups,http://cdixon.org/2011/12/07/growth-curves-of-startups/,"December 7, 2011",0,10,74,25,0,8
Always have 18 months of cash in the bank,http://cdixon.org/2011/12/06/always-have-18-months-of-cash-in-the-bank/,"December 6, 2011",0,29,182,52,0,14
Making industries “garage ready” for startups,http://cdixon.org/2011/12/05/horizontal-specialization-as-a-catalyst-for-startups/,"December 5, 2011",0,6,101,27,0,9
Why is enterprise tech so far behind consumer tech? Because it can be.,http://cdixon.org/2011/12/04/why-is-enterprise-tech-so-far-behind-consumer-tech-because-it-can-be/,"December 4, 2011",0,10,156,41,0,19
The enterprise: buyers versus users,http://cdixon.org/2011/12/03/the-enterprise-buyers-versus-users/,"December 3, 2011",0,3,66,30,0,7
Getting broadband in Manhattan,http://cdixon.org/2011/12/02/getting-broadband-in-manhattan/,"December 2, 2011",0,3,69,18,0,12
“Otherwise do something else”,http://cdixon.org/2011/12/02/otherwise-do-something-else/,"December 2, 2011",0,40,176,48,0,22
Business development: the Goldilocks principle,http://cdixon.org/2011/11/28/business-development-the-goldilocks-principle/,"November 28, 2011",0,31,277,79,0,14
Some lessons learned,http://cdixon.org/2011/09/28/some-lessons-learned/,"September 28, 2011",0,224,643,220,0,31
Summary of new patent bill (America Invents Act),http://cdixon.org/2011/09/16/summary-of-new-patent-bill-america-invests-act/,"September 16, 2011",0,19,101,25,0,4
Owning equity in your company should be as common as owning equity in your home,http://cdixon.org/2011/09/12/owning-equity-in-your-company-should-be-as-common-as-owning-equity-in-your-home/,"September 12, 2011",0,13,201,52,0,1
Do you want to sell sugar water or do you want to change the world?,http://cdixon.org/2011/08/28/do-you-want-to-sell-sugar-water-or-do-you-want-to-change-the-world/,"August 28, 2011",0,196,417,74,0,4
What the NYC startup world needs (and doesn’t need),http://cdixon.org/2011/08/02/what-the-nyc-startup-world-needs-and-doesnt-need/,"August 2, 2011",0,66,492,118,0,1
Pivoting into a new corporate structure,http://cdixon.org/2011/08/01/pivoting-into-a-new-corporate-structure/,"August 1, 2011",0,3,111,23,0,0
The downside of accelerated investment decisions,http://cdixon.org/2011/07/28/the-downside-of-accelerated-investment-decisions/,"July 28, 2011",0,7,149,44,0,0
The tragedy of the anticommons,http://cdixon.org/2011/07/26/the-tragedy-of-the-anti-commons/,"July 26, 2011",0,1,38,5,0,0
Thomas Jefferson on Patents,http://cdixon.org/2011/07/16/thomas-jefferson-on-patents/,"July 16, 2011",0,48,183,18,0,5
The next big thing is sitting right in front of you,http://cdixon.org/2011/07/02/the-next-big-thing-is-sitting-right-in-front-of-you/,"July 2, 2011",0,23,170,41,0,1
Founder/market fit,http://cdixon.org/2011/06/19/foundermarket-fit/,"June 19, 2011",0,68,383,107,0,1
Allocation investing and the social premium,http://cdixon.org/2011/06/16/allocation-investing-and-the-social-premium/,"June 16, 2011",0,2,0,27,0,0
The lodsys case,http://cdixon.org/2011/06/12/the-lodsys-case/,"June 12, 2011",0,0,0,16,0,0
Notes on raising seed financing,http://cdixon.org/2011/06/09/notes-on-raising-seed-financing/,"June 9, 2011",0,43,267,187,0,1
Accurate contrarian theories,http://cdixon.org/2011/05/16/accurate-contrarian-theories/,"May 16, 2011",0,5,93,52,0,0
Options,http://cdixon.org/2011/05/13/stock-options/,"May 13, 2011",0,1,57,28,0,0
Taste graph infographic,http://cdixon.org/2011/05/09/taste-graph-infographic/,"May 9, 2011",0,18,28,11,0,0
Best practices for raising a VC round,http://cdixon.org/2011/05/04/best-practices-for-raising-a-vc-round/,"May 4, 2011",0,77,623,401,0,0
There are two kinds of people in the world,http://cdixon.org/2011/04/26/there-are-two-kinds-of-people-in-the-world/,"April 26, 2011",0,1394,1721,1193,0,2
Inferring intent on mobile devices,http://cdixon.org/2011/04/24/inferring-intent-on-mobile-devices/,"April 24, 2011",0,9,144,91,0,0
Financing risk,http://cdixon.org/2011/04/20/financing-risk/,"April 20, 2011",0,7,88,0,0,0
Experiment: blog in Kindle book form,http://cdixon.org/2011/04/18/experiment-blog-in-kindle-book-form/,"April 18, 2011",0,1,145,36,0,0
Apple and the TV industry,http://cdixon.org/2011/04/17/apple-and-the-tv-industry/,"April 17, 2011",0,75,456,235,0,0
Showing up,http://cdixon.org/2011/04/12/showing-up/,"April 12, 2011",0,16,209,121,0,0
Google’s social strategy,http://cdixon.org/2011/04/10/googles-social-strategy/,"April 10, 2011",0,48,659,432,0,1
A weird thing that happened and a note to the future,http://cdixon.org/2011/04/04/a-weird-thing-that-happened-and-a-note-to-the-future/,"April 4, 2011",0,7,87,45,0,0
App store shenanigans,http://cdixon.org/2011/04/01/app-store-shenanigans/,"April 1, 2011",0,12,218,0,0,0
A few points about the “tech bubble” debate,http://cdixon.org/2011/03/27/a-few-points-about-the-tech-bubble-debate/,"March 27, 2011",0,8,237,0,0,0
Founder Stories,http://cdixon.org/2011/03/25/founder-stories/,"March 25, 2011",0,4,76,24,0,1
MIT is a national treasure,http://cdixon.org/2011/03/23/mit-is-a-national-treasure/,"March 23, 2011",0,33,53,31,0,1
Dropbox and why you should invest in people,http://cdixon.org/2011/03/21/dropbox-and-why-you-should-invest-in-people/,"March 21, 2011",0,8,67,50,0,0
SEO is no longer a viable marketing strategy for startups,http://cdixon.org/2011/03/05/seo-is-no-longer-a-viable-marketing-strategy-for-startups/,"March 5, 2011",0,94,924,570,0,0
Graphs presentation,http://cdixon.org/2011/03/03/graphs-presentation/,"March 3, 2011",0,8,88,37,0,0
The importance of predictability for platform developers,http://cdixon.org/2011/02/21/the-importance-of-predictability-for-platform-developers/,"February 21, 2011",0,9,133,76,0,0
Selling pickaxes during a gold rush,http://cdixon.org/2011/02/05/selling-pickaxes-during-a-gold-rush/,"February 5, 2011",0,40,288,1,0,1
"Predicting the future of the Internet is easy: anything it hasn’t yet dramatically transformed, it will.",http://cdixon.org/2011/01/13/predicting-the-future-of-the-internet-is-easy-anything-it-hasnt-yet-dramatically-transformed-it-will/,"January 13, 2011",0,152,631,248,0,3
The “thin edge of the wedge” strategy,http://cdixon.org/2010/12/26/the-thin-edge-of-the-wedge-strategy/,"December 26, 2010",0,30,287,102,0,0
The interoperability of social networks,http://cdixon.org/2010/11/10/the-interoperability-of-social-networks/,"November 10, 2010",0,22,209,3,0,0
Timing your startup,http://cdixon.org/2010/11/07/timing-your-startup/,"November 7, 2010",0,51,474,11,0,0
Instrumenting the offline world,http://cdixon.org/2010/10/29/instrumentation/,"October 29, 2010",0,1,34,0,0,0
You need to use social services to understand them,http://cdixon.org/2010/10/23/you-need-to-use-social-services-to-understand-them/,"October 23, 2010",0,30,357,15,0,0
Online privacy: what’s at stake,http://cdixon.org/2010/10/22/online-privacy-whats-at-stake/,"October 22, 2010",0,3,103,0,0,0
The “ladies’ night” strategy,http://cdixon.org/2010/10/16/the-ladies-night-strategy/,"October 16, 2010",0,23,163,12,0,0
Some thoughts on incumbents,http://cdixon.org/2010/10/07/some-thoughts-on-incumbents/,"October 7, 2010",0,5,19,14,0,0
The segmentation of the venture industry,http://cdixon.org/2010/09/26/the-segmentation-of-the-venture-industry/,"September 26, 2010",0,8,191,0,0,0
"If you aren’t getting rejected on a daily basis, your goals aren’t ambitious enough",http://cdixon.org/2010/09/12/getting-rejected/,"September 12, 2010",0,590,2659,162,1,5
Web services should be both federated and extensible,http://cdixon.org/2010/09/04/web-services-should-be-both-federated-and-extensible/,"September 4, 2010",0,9,93,1,0,0
Howard Lindzon’s “Web is Dead” series,http://cdixon.org/2010/09/01/howard-lindzons-web-is-dead-series/,"September 1, 2010",0,1,24,0,0,0
Converts versus equity deals,http://cdixon.org/2010/08/31/converts-versus-equity-deals/,"August 31, 2010",0,8,118,3,0,0
Good bizdev cannibalizes itself,http://cdixon.org/2010/08/28/good-bizdev-cannabilizies-itself/,"August 28, 2010",0,2,76,0,0,1
The bowling pin strategy,http://cdixon.org/2010/08/21/the-bowling-pin-strategy/,"August 21, 2010",0,38,317,9,0,3
