Title,Link,Comments,Likes,Tweets,LinkedIn,Pins,+ 1's
"Sales 101: Change their mood, not their mind",http://www.quicksprout.com/2012/06/14/sales-101-change-their-mood-not-their-mind/,0,28,122,47,2,13
5 Ways to Get Your Infographic to Go Viral,http://www.quicksprout.com/2012/06/11/5-ways-to-get-your-infographic-to-go-viral/,0,45,263,88,27,19
How Content Curation Can Improve Your Search Rankings,http://www.quicksprout.com/2012/06/07/how-content-curation-can-improve-your-search-rankings/,0,51,256,98,2,30
Forget SEO: Here’s How to Write a Post That Goes Viral,http://www.quicksprout.com/2012/06/04/forget-seo-heres-how-to-write-a-post-that-goes-viral/,0,105,527,213,3,75
How to Make Your Small Business Stand Out with These 8 Marketing Twists,http://www.quicksprout.com/2012/05/29/how-to-make-your-small-business-stand-out-with-these-8-marketing-twists/,0,70,363,168,5,20
The 3-Step Process to Creating an Effective and Profitable Keyword Plan,http://www.quicksprout.com/2012/05/24/the-3-step-process-to-creating-an-effective-and-profitable-keyword-plan/,0,27,216,74,12,19
7 Marketing Lessons the Real Mad Men Taught Me,http://www.quicksprout.com/2012/05/21/7-marketing-lessons-the-real-mad-men-taught-me/,0,42,251,107,4,24
Which of These 3 Case Studies Will Grow Your Sales?,http://www.quicksprout.com/2012/05/17/which-of-these-3-case-studies-will-grow-your-sales/,0,22,119,39,2,18
What You Ought to Do If You’ve Been Punished by Google’s Penguin Update,http://www.quicksprout.com/2012/05/14/what-you-ought-to-do-if-youve-been-punished-by-googles-penguin-update/,0,82,172,70,7,19
The Beginner’s Guide to Mobile App Marketing,http://www.quicksprout.com/2012/05/10/the-beginners-guide-to-mobile-app-marketing/,0,64,363,117,6,34
How to Get a Boatload of People to Pin Your Products to Pinterest,http://www.quicksprout.com/2012/05/07/how-to-get-a-boatload-of-people-to-pin-your-products-to-pinterest/,0,161,238,66,14,36
"The Alex Mangini Story: Learn how an 18-year old skipped college to make $120,000 a year",http://www.quicksprout.com/2012/05/03/the-alex-mangini-story-learn-how-an-18-year-old-skipped-college-to-make-120000-a-year/,0,301,193,66,2,45
6 Ways to Generate More Traffic Out of Your Images,http://www.quicksprout.com/2012/04/30/6-ways-to-generate-more-traffic-out-of-your-images/,0,72,285,67,10,34
Want a 150% Boost in Traffic? Then Use This Idiot-Proof Guide to Google Authorship Markup,http://www.quicksprout.com/2012/04/27/want-a-150-boost-in-traffic-then-use-this-idiot-proof-guide-to-google-authorship-markup/,0,53,235,79,3,46
The Secret to Getting Highly Targeted Traffic from StumbleUpon,http://www.quicksprout.com/2012/04/24/the-secret-to-getting-highly-targeted-traffic-from-stumbleupon/,0,140,214,83,2,25
"The Real Secret to 1,000 Blog Subscribers in 60 Days or Less",http://www.quicksprout.com/2012/04/16/the-real-secret-to-1000-blog-subscribers-in-60-days-or-less/,0,33,229,80,7,33
8 Marketing Lessons from RIM’s Slow Death,http://www.quicksprout.com/2012/04/12/8-marketing-lessons-from-rims-slow-death/,0,126,308,115,3,27
7 Link Building Mistakes You Ought to Avoid,http://www.quicksprout.com/2012/04/09/7-link-building-mistakes-you-ought-to-avoid/,0,112,412,152,16,83
